Category,Subcategory,Product Name,Brand,Unit,MRP,Price,Stock,Description
Plants,Medicinal/Herb,Curry Leaf Live Plant with Pot,IGO Nursery,1 plant,399,338,194,Healthy nursery-grown Curry Leaf plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Money Plant Live Plant with Pot,Ugaoo,1 plant,99,65,54,Healthy nursery-grown Money Plant plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Areca Palm Live Plant with Pot,Nurserylive,1 plant,99,73,135,Healthy nursery-grown Areca Palm plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Bougainvillea Live Plant with Pot,IGO Nursery,1 plant,99,79,194,Healthy nursery-grown Bougainvillea plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Croton Live Plant with Pot,Ugaoo,1 plant,299,214,136,Healthy nursery-grown Croton plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Snake Plant Live Plant with Pot,IGO Nursery,1 plant,399,348,43,Healthy nursery-grown Snake Plant plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Neem Live Plant with Pot,IGO Nursery,1 plant,299,213,39,Healthy nursery-grown Neem plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Sandalwood Live Plant with Pot,Nurserylive,1 plant,149,124,72,Healthy nursery-grown Sandalwood plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Tecoma Live Plant with Pot,Ugaoo,1 plant,299,231,117,Healthy nursery-grown Tecoma plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Nerium Live Plant with Pot,IGO Nursery,1 plant,299,262,93,Healthy nursery-grown Nerium plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Champa (Frangipani) Live Plant with Pot,IGO Nursery,1 plant,399,322,70,Healthy nursery-grown Champa (Frangipani) plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Lemongrass Live Plant with Pot,IGO Nursery,1 plant,399,274,85,Healthy nursery-grown Lemongrass plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Mint (Pudina) Live Plant with Pot,Nurserylive,1 plant,399,315,23,Healthy nursery-grown Mint (Pudina) plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Stevia Live Plant with Pot,Green Paradise,1 plant,99,76,192,Healthy nursery-grown Stevia plant in grow bag/pot. Air-purifying & easy to maintain.
Agriculture Tools,Garden Hand Tools,Hand Trowel,IGO Tools,1 unit,899,750,84,"Durable hand trowel for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Pruning Secateur,Kisankraft,1 unit,1499,1188,129,"Durable pruning secateur for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Garden Fork,IGO Tools,1 unit,899,685,31,"Durable garden fork for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Khurpi (Weeder),Neptune,1 unit,120,90,29,"Durable khurpi (weeder) for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Grafting Knife,Aspee,1 unit,7999,7189,109,"Durable grafting knife for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Harvesting Tools,Sickle (Aruval),Falcon,1 unit,899,642,33,"Durable sickle (aruval) for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Digging Tools,Spade (Mann Vetti),Falcon,1 unit,1499,1334,43,"Durable spade (mann vetti) for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Digging Tools,Pickaxe,Aspee,1 unit,1499,1315,103,"Durable pickaxe for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Digging Tools,Crowbar,Falcon,1 unit,7999,7035,134,"Durable crowbar for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Sprayers & Pumps,Knapsack Sprayer 16L,Neptune,1 unit,120,87,135,"Durable knapsack sprayer 16l for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Sprayers & Pumps,Battery Sprayer 16L,Kisankraft,1 unit,7999,6247,46,"Durable battery sprayer 16l for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Sprayers & Pumps,Power Sprayer 22L,Neptune,1 unit,2999,2324,40,"Durable power sprayer 22l for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Sprayers & Pumps,HTP Sprayer,Wolf-Garten,1 unit,120,91,96,"Durable htp sprayer for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Sprayers & Pumps,Foot Sprayer,Neptune,1 unit,250,221,60,"Durable foot sprayer for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Power Tools,Brush Cutter,Kisankraft,1 unit,120,105,84,"Durable brush cutter for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Power Tools,Mini Power Tiller,Wolf-Garten,1 unit,2999,2138,109,"Durable mini power tiller for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Power Tools,Chaff Cutter,Aspee,1 unit,250,193,119,"Durable chaff cutter for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Power Tools,Water Pump 1HP,Wolf-Garten,1 unit,120,90,23,"Durable water pump 1hp for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Power Tools,Earth Auger,Kisankraft,1 unit,1499,1239,48,"Durable earth auger for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Farm Equipment,Wheelbarrow,Falcon,1 unit,1499,1180,90,"Durable wheelbarrow for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Irrigation,Drip Lateral 16mm,Falcon,1 unit,2999,2570,119,"Durable drip lateral 16mm for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Irrigation,Sprinkler Set,IGO Tools,1 unit,4999,4412,150,"Durable sprinkler set for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Irrigation,Drip Emitter (4 LPH),Falcon,1 unit,250,177,115,"Durable drip emitter (4 lph) for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Irrigation,Rain Pipe 100m,Neptune,1 unit,499,413,83,"Durable rain pipe 100m for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Irrigation,Garden Hose 30m,Neptune,1 unit,120,105,150,"Durable garden hose 30m for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Pruning Saw,Falcon,1 unit,499,396,97,"Durable pruning saw for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Hedge Shear,Wolf-Garten,1 unit,1499,1125,76,"Durable hedge shear for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Hand Cultivator,Neptune,1 unit,899,683,110,"Durable hand cultivator for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Nursery Tools,Seedling Tray (98 cells),IGO Tools,1 unit,499,413,29,"Durable seedling tray (98 cells) for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Harvesting Tools,Harvesting Scissor,Falcon,1 unit,7999,6479,125,"Durable harvesting scissor for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Materials,Manures & Fertilizers,Vermicompost,Multiplex,5kg,1299,1026,96,Premium quality vermicompost for healthy crop growth and soil enrichment.
Agriculture Materials,Manures & Fertilizers,Cow Dung Manure,Geolife,5kg,149,111,114,Premium quality cow dung manure for healthy crop growth and soil enrichment.
Agriculture Materials,Manures & Fertilizers,Neem Cake,Multiplex,5kg,599,430,147,Premium quality neem cake for healthy crop growth and soil enrichment.
Agriculture Materials,Manures & Fertilizers,Bone Meal,Multiplex,1kg,249,214,128,Premium quality bone meal for healthy crop growth and soil enrichment.
Agriculture Materials,Manures & Fertilizers,NPK 19:19:19,IGO Agri,1kg,899,785,221,Premium quality npk 19:19:19 for healthy crop growth and soil enrichment.
Agriculture Materials,Manures & Fertilizers,Urea,T-Stanes,1kg,899,723,217,Premium quality urea for healthy crop growth and soil enrichment.
Agriculture Materials,Manures & Fertilizers,DAP,Multiplex,1kg,249,211,280,Premium quality dap for healthy crop growth and soil enrichment.
Agriculture Materials,Manures & Fertilizers,Potash (MOP),Multiplex,1kg,599,535,89,Premium quality potash (mop) for healthy crop growth and soil enrichment.
Agriculture Materials,Bio Stimulants,Seaweed Extract,Casa De Amor,500ml,599,482,135,Premium quality seaweed extract for healthy crop growth and soil enrichment.
Agriculture Materials,Bio Stimulants,Humic Acid,IGO Agri,500ml,249,218,221,Premium quality humic acid for healthy crop growth and soil enrichment.
Agriculture Materials,Bio Stimulants,Panchagavya,T-Stanes,1L,899,709,184,Premium quality panchagavya for healthy crop growth and soil enrichment.
Agriculture Materials,Bio Stimulants,Jeevamrutham,IGO Agri,1L,149,105,388,Premium quality jeevamrutham for healthy crop growth and soil enrichment.
Agriculture Materials,Plant Protection,Neem Oil 10000 PPM,T-Stanes,1L,599,477,62,Premium quality neem oil 10000 ppm for healthy crop growth and soil enrichment.
Agriculture Materials,Plant Protection,Trichoderma Viride,T-Stanes,1kg,1299,1046,264,Premium quality trichoderma viride for healthy crop growth and soil enrichment.
Agriculture Materials,Plant Protection,Pseudomonas,T-Stanes,1kg,149,127,139,Premium quality pseudomonas for healthy crop growth and soil enrichment.
Agriculture Materials,Plant Protection,Sticky Trap (Yellow),Katyayani,Pack of 10,149,119,374,Premium quality sticky trap (yellow) for healthy crop growth and soil enrichment.
Agriculture Materials,Grow Media,Cocopeat Block,IGO Agri,5kg,1299,1096,356,Premium quality cocopeat block for healthy crop growth and soil enrichment.
Agriculture Materials,Grow Media,Perlite,T-Stanes,5L,99,80,45,Premium quality perlite for healthy crop growth and soil enrichment.
Agriculture Materials,Grow Media,Vermiculite,IGO Agri,5L,1299,941,316,Premium quality vermiculite for healthy crop growth and soil enrichment.
Agriculture Materials,Grow Media,Red Soil,IGO Agri,10kg,899,757,90,Premium quality red soil for healthy crop growth and soil enrichment.
Agriculture Materials,Grow Media,Potting Mix,Casa De Amor,10kg,249,200,248,Premium quality potting mix for healthy crop growth and soil enrichment.
Agriculture Materials,Grow Bags,Grow Bag 12x12,Casa De Amor,Pack of 5,1299,938,61,Premium quality grow bag 12x12 for healthy crop growth and soil enrichment.
Agriculture Materials,Grow Bags,Grow Bag 15x15,Multiplex,Pack of 5,599,532,123,Premium quality grow bag 15x15 for healthy crop growth and soil enrichment.
Agriculture Materials,Grow Bags,HDPE Grow Bag 24x24,T-Stanes,Pack of 5,249,185,332,Premium quality hdpe grow bag 24x24 for healthy crop growth and soil enrichment.
Agriculture Materials,Protective Materials,Shade Net 50%,IGO Agri,3x5m,99,79,260,Premium quality shade net 50% for healthy crop growth and soil enrichment.
Agriculture Materials,Protective Materials,Shade Net 75%,Multiplex,3x5m,249,206,149,Premium quality shade net 75% for healthy crop growth and soil enrichment.
Agriculture Materials,Protective Materials,Mulching Sheet 25 micron,T-Stanes,100m,599,447,151,Premium quality mulching sheet 25 micron for healthy crop growth and soil enrichment.
Agriculture Materials,Protective Materials,Crop Cover Net,IGO Agri,3x10m,399,335,182,Premium quality crop cover net for healthy crop growth and soil enrichment.
Agriculture Materials,Grow Media,Coir Pith,IGO Agri,5kg,99,73,370,Premium quality coir pith for healthy crop growth and soil enrichment.
Agriculture Materials,Manures & Fertilizers,Garden Soil Enricher,Casa De Amor,5kg,399,285,141,Premium quality garden soil enricher for healthy crop growth and soil enrichment.
Field Crop & Millet Seeds,Paddy,Paddy (Rice) Certified Seeds,Kaveri,500g,250,197,208,"Certified high-yield Paddy (Rice) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Wheat,Wheat Certified Seeds,Nuziveedu,5kg,899,738,80,"Certified high-yield Wheat seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Maize,Maize (Corn) Certified Seeds,IGO Seeds,500g,250,218,82,"Certified high-yield Maize (Corn) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Ragi,Ragi (Finger Millet) Certified Seeds,Kaveri,1kg,150,120,89,"Certified high-yield Ragi (Finger Millet) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Cumbu,Cumbu (Pearl Millet) Certified Seeds,Kaveri,2kg,150,119,57,"Certified high-yield Cumbu (Pearl Millet) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Thinai,Thinai (Foxtail Millet) Certified Seeds,TNAU Certified,1kg,399,340,154,"Certified high-yield Thinai (Foxtail Millet) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Samai,Samai (Little Millet) Certified Seeds,Kaveri,1kg,899,682,130,"Certified high-yield Samai (Little Millet) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Varagu,Varagu (Kodo Millet) Certified Seeds,IGO Seeds,1kg,150,113,136,"Certified high-yield Varagu (Kodo Millet) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Black Gram,Black Gram (Urad) Certified Seeds,IGO Seeds,5kg,899,683,145,"Certified high-yield Black Gram (Urad) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Green Gram,Green Gram (Moong) Certified Seeds,Nuziveedu,500g,899,691,72,"Certified high-yield Green Gram (Moong) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Red Gram,Red Gram (Toor) Certified Seeds,Nuziveedu,5kg,150,117,38,"Certified high-yield Red Gram (Toor) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Cowpea,Cowpea Certified Seeds,Nuziveedu,2kg,899,785,114,"Certified high-yield Cowpea seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Horse Gram,Horse Gram Certified Seeds,Kaveri,500g,150,115,101,"Certified high-yield Horse Gram seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Groundnut,Groundnut Certified Seeds,IGO Seeds,500g,250,205,173,"Certified high-yield Groundnut seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Sesame,Sesame (Gingelly) Certified Seeds,Mahyco,2kg,399,323,240,"Certified high-yield Sesame (Gingelly) seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Sunflower,Sunflower Certified Seeds,Kaveri,5kg,90,68,80,"Certified high-yield Sunflower seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Cotton,Cotton Certified Seeds,Nuziveedu,1kg,599,542,112,"Certified high-yield Cotton seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Sugarcane Sett,Sugarcane Sett Certified Seeds,Nuziveedu,500g,899,811,191,"Certified high-yield Sugarcane Sett seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Fodder Sorghum,Fodder Sorghum Certified Seeds,Kaveri,5kg,150,133,40,"Certified high-yield Fodder Sorghum seed with strong germination, suited to Indian agro-climates."
Field Crop & Millet Seeds,Lucerne,Lucerne (Alfalfa) Certified Seeds,Kaveri,500g,90,74,95,"Certified high-yield Lucerne (Alfalfa) seed with strong germination, suited to Indian agro-climates."
Valluvam Traditional Products,Natural Foods,Native Country Egg,IGO Native,Tray of 6,499,394,101,"Authentic, naturally-made native country egg sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Natural Sweeteners,Palm Jaggery (Karupatti),Tamil Naadu Organics,500g,199,166,26,"Authentic, naturally-made palm jaggery (karupatti) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Natural Sweeteners,Country Sugar (Naattu Sakkarai),Tamil Naadu Organics,1kg,499,450,96,"Authentic, naturally-made country sugar (naattu sakkarai) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Cold-Pressed Oils,Wood-Pressed Groundnut Oil,Tamil Naadu Organics,1L,199,155,31,"Authentic, naturally-made wood-pressed groundnut oil sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Cold-Pressed Oils,Wood-Pressed Coconut Oil,Valluvam Naturals,1L,699,573,136,"Authentic, naturally-made wood-pressed coconut oil sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Cold-Pressed Oils,Wood-Pressed Sesame Oil,Karisal Farms,1L,699,591,79,"Authentic, naturally-made wood-pressed sesame oil sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Native Rice,Native Mappillai Samba Rice,Karisal Farms,1kg,699,603,142,"Authentic, naturally-made native mappillai samba rice sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Native Rice,Karuppu Kavuni (Black Rice),IGO Native,1kg,99,90,92,"Authentic, naturally-made karuppu kavuni (black rice) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Native Rice,Kichili Samba Rice,IGO Native,1kg,399,327,96,"Authentic, naturally-made kichili samba rice sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Native Rice,Red Rice (Sivappu Arisi),Karisal Farms,1kg,199,181,35,"Authentic, naturally-made red rice (sivappu arisi) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Natural Foods,Raw Forest Honey,IGO Native,500g,299,271,78,"Authentic, naturally-made raw forest honey sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Natural Foods,Country Cow A2 Ghee,Karisal Farms,250ml,99,88,138,"Authentic, naturally-made country cow a2 ghee sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Native Spices,Hand-Pound Turmeric Powder,Tamil Naadu Organics,250g,149,141,41,"Authentic, naturally-made hand-pound turmeric powder sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Native Spices,Native Sea Salt,Valluvam Naturals,1kg,199,176,68,"Authentic, naturally-made native sea salt sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Traditional Care,Herbal Hair Oil (Kuthuvilakku),Valluvam Naturals,100ml,299,258,129,"Authentic, naturally-made herbal hair oil (kuthuvilakku) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Traditional Care,Neem Soap (Handmade),IGO Native,100g,149,119,132,"Authentic, naturally-made neem soap (handmade) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Native Produce,Country Banana (Nattu),IGO Native,1 dozen,499,434,46,"Authentic, naturally-made country banana (nattu) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Native Seeds,Native Brinjal Seeds (Kathiri),Tamil Naadu Organics,25g,199,164,83,"Authentic, naturally-made native brinjal seeds (kathiri) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Native Seeds,Heirloom Tomato Seeds (Naatu),Tamil Naadu Organics,25g,199,180,65,"Authentic, naturally-made heirloom tomato seeds (naatu) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Natural Sweeteners,Panai Vellam (Palm Candy),Karisal Farms,250g,149,120,75,"Authentic, naturally-made panai vellam (palm candy) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Traditional Ware,Mud Pot (Clay Cookware),IGO Native,1 unit,199,185,63,"Authentic, naturally-made mud pot (clay cookware) sourced from native Tamil Nadu farmers. Chemical-free & traditional."
Valluvam Traditional Products,Traditional Care,Naatu Maattu Sambrani,Tamil Naadu Organics,100g,99,83,77,"Authentic, naturally-made naatu maattu sambrani sourced from native Tamil Nadu farmers. Chemical-free & traditional."
